,DATA,TIME,MARKET,SYMBOL,CASH,PRICE
0,2023-12-08,22:16,htx,BTC,BRL,239540.89
1,2023-12-08,22:16,kukoin,BTC,BRL,217419.8
2,2023-12-08,22:16,htx,BTC,GBP,37185.39
3,2023-12-08,22:16,kukoin,BTC,GBP,34202.52
4,2023-12-08,22:16,kukoin,BTC,EUR,40986.38
5,2023-12-08,22:16,bybit,BTC,EUR,40780.52
6,2023-12-08,22:16,kukoin,BTC,DAI,43934.0
7,2023-12-08,22:16,bybit,BTC,DAI,43778.55
8,2023-12-08,22:16,kukoin,GRAIL,USDT,1583.31
9,2023-12-08,22:16,htx,GRAIL,USDT,1450.84
10,2023-12-08,22:16,kukoin,QUICK,USDT,58.73
11,2023-12-08,22:16,htx,QUICK,USDT,0.052312
